rep,Salinity,Concentration,Size,ID,average.length.mm,average.width.mm,LXW,W/L,Average W/L,SD,SE,,,
R1A,5,0,Control,C_5,4.79,0.53,2.5387,0.442588727,,,,,,
R1B,5,0,Control,C_5,4.92,0.61,3.0012,0.495934959,,,,,,
R1C,5,0,Control,C_5,4.79,0.47,2.2513,0.392484342,,,,,,
R1A,5,0,Control,C_5,4.22,0.52,2.1944,0.492890995,,,,,,
R1B,5,0,Control,C_5,4.66,0.5,2.33,0.429184549,,,,,,
R1C,5,0,Control,C_5,4.67,0.5,2.335,0.428265525,,,,,,
Control_5ppt_1,5,0,Control,C_5,4.17,0.44,1.8348,0.42206235,,,,,,
Control_5ppt_2,5,0,Control,C_5,4.76,0.56,2.6656,0.470588235,,,,,,
Control_5ppt_3,5,0,Control,C_5,4.09,0.39,1.5951,0.381418093,0.439490864,0.038198596,0.012732865,,,
R1A,5,60000,Leachate,LT_5,4.59,0.43,1.9737,0.374727669,,,,,,
R1B,5,60000,Leachate,LT_5,4.86,0.51,2.4786,0.419753086,,,,,,
R1C,5,60000,Leachate,LT_5,4.75,0.54,2.565,0.454736842,0.416405866,0.032749248,0.018907787,,,
C1_L5ppt_1,5,60,Micro,M_C1_5,4.09,0.51,2.0859,0.498777506,,,,,,
C1_L5ppt_2,5,60,Micro,M_C1_5,4.74,0.44,2.0856,0.371308017,,,,,,
C1_L5ppt_3,5,60,Micro,M_C1_5,4.25,0.45,1.9125,0.423529412,0.431204978,0.052321464,0.030207811,,,
C2_L5ppt_1,5,6000,Micro,M_C2_5,4.22,0.49,2.0678,0.464454976,,,,,,
C2_L5ppt_2,5,6000,Micro,M_C2_5,4.26,0.43,1.8318,0.403755869,,,,,,
C2_L5ppt_3,5,6000,Micro,M_C2_5,4.1,0.32,1.312,0.312195122,0.393468656,0.062584002,0.03613289,,,
C3_L5ppt_1,5,60000,Micro,M_C3_5,4.65,0.32,1.488,0.275268817,,,,,,
C3_L5ppt_2,5,60000,Micro,M_C3_5,4.06,0.38,1.5428,0.374384236,,,,,,
C3_L5ppt_3,5,60000,Micro,M_C3_5,4.12,0.26,1.0712,0.252427184,0.300693413,0.052935106,0.030562098,,,
C1_S5ppt_1,5,60,Nano,N_C1_5,3.98,0.48,1.9104,0.48241206,,,,,,
C1_S5ppt_2,5,60,Nano,N_C1_5,3.9,0.34,1.326,0.348717949,,,,,,
C1_S5ppt_3,5,60,Nano,N_C1_5,4.47,0.32,1.4304,0.286353468,0.372494492,0.081787269,0.047219902,,,
C2_S5ppt_1,5,6000,Nano,N_C2_5,3.98,0.38,1.5124,0.381909548,,,,,,
C2_S5ppt_2,5,6000,Nano,N_C2_5,4.03,0.43,1.7329,0.426799007,,,,,,
C2_S5ppt_3,5,6000,Nano,N_C2_5,4,0.37,1.48,0.37,0.392902852,0.024456374,0.014119894,,,
C3_S5ppt_1,5,60000,Nano,N_C3_5,4.07,0.43,1.7501,0.422604423,,,,,,
C3_S5ppt_2,5,60000,Nano,N_C3_5,3.97,0.43,1.7071,0.43324937,,,,,,
C3_S5ppt_3,5,60000,Nano,N_C3_5,3.95,0.42,1.659,0.425316456,0.42705675,0.00451665,0.002607689,,,
R1A,15,0,Control,C_15,4.12,0.52,2.1424,0.504854369,,,,,,
R1B,15,0,Control,C_15,4.36,0.51,2.2236,0.467889908,,,,,,
R1C,15,0,Control,C_15,4.32,0.44,1.9008,0.407407407,,,,,,
R1A,15,0,Control,C_15,4.12,0.52,2.1424,0.504854369,,,,,,
R1B,15,0,Control,C_15,4.04,0.54,2.1816,0.534653465,,,,,,
R1C,15,0,Control,C_25,4.34,0.49,2.1266,0.451612903,,,,,,
Control_15ppt_1,15,0,Control,C_15,3.99,0.47,1.8753,0.471177945,,,,,,
Control_15ppt_2,15,0,Control,C_15,4.49,0.47,2.1103,0.418708241,,,,,,
Control_15ppt_3,15,0,Control,C_15,4.44,0.45,1.998,0.405405405,0.462951557,0.043751399,0.0145838,,,
R1A,15,60000,Leachate,LT_15,4.2,0.46,1.932,0.438095238,,,,,,
R1B,15,60000,Leachate,LT_15,4.26,0.58,2.4708,0.544600939,,,,,,
R1C,15,60000,Leachate,LT_15,4.24,0.5,2.12,0.471698113,0.484798097,0.04445652,0.025666984,,,
C1_L15ppt_1,15,60,Micro,M_C1_5,4.08,0.3,1.224,0.294117647,,,,,,
C1_L15ppt_2,15,60,Micro,M_C1_15,4.07,0.48,1.9536,0.471744472,,,,,,
C1_L15ppt_3,15,60,Micro,M_C1_15,4.08,0.48,1.9584,0.470588235,0.412150118,0.083462895,0.048187325,,,
C2_L15ppt_1,15,6000,Micro,M_C2_15,4.08,0.33,1.3464,0.323529412,,,,,,
C2_L15ppt_2,15,6000,Micro,M_C2_15,4.02,0.42,1.6884,0.417910448,,,,,,
C2_L15ppt_3,15,6000,Micro,M_C2_15,3.82,0.4,1.528,0.418848168,0.386762676,0.044714309,0.025815818,,,
C3_L15ppt_1,15,60000,Micro,M_C3_15,4.1,0.35,1.435,0.341463415,,,,,,
C3_L15ppt_2,15,60000,Micro,M_C3_15,4.29,0.3,1.287,0.27972028,0.310591847,0.030871567,0.021829495,,,
C1_S15ppt_1,15,60,Nano,N_C1_15,3.98,0.43,1.7114,0.432160804,,,,,,
C1_S15ppt_2,15,60,Nano,N_C1_15,4.01,0.4,1.604,0.399002494,,,,,,
C1_S15ppt_3,15,60,Nano,N_C1_15,3.97,0.43,1.7071,0.43324937,0.421470889,0.015893769,0.009176272,,,
C2_S15ppt_1,15,6000,Nano,N_C2_15,4.34,0.46,1.9964,0.423963134,,,,,,
C2_S15ppt_2,15,6000,Nano,N_C2_15,3.57,0.41,1.4637,0.459383754,,,,,,
C2_S15ppt_3,15,6000,Nano,N_C2_15,4.25,0.4,1.7,0.376470588,0.419939158,0.03396854,0.019611745,,,
C3_S15ppt_1,15,60000,Nano,N_C3_15,4.32,0.41,1.7712,0.37962963,,,,,,
C3_S15ppt_2,15,60000,Nano,N_C3_15,4.1,0.49,2.009,0.47804878,,,,,,
C3_S15ppt_3,15,60000,Nano,N_C3_15,4.34,0.38,1.6492,0.350230415,0.402636275,0.054658717,0.031557225,,,
R1A,25,0,Control,C_25,4.11,0.48,1.9728,0.467153285,,,,,,
R1B,25,0,Control,C_25,4.26,0.49,2.0874,0.460093897,,,,,,
R1C,25,0,Control,C_25,4.05,0.55,2.2275,0.543209877,,,,,,
R1A,25,0,Control,C_25,3.41,0.41,1.3981,0.480938416,,,,,,
R1B,25,0,Control,C_25,4.05,0.51,2.0655,0.503703704,,,,,,
Control_25ppt_1,25,0,Control,C_25,4.01,0.43,1.7243,0.428927681,0.480671143,0.035882226,0.014648857,,,
R1A,25,60000,Leachate,LT_25,3.92,0.52,2.0384,0.530612245,,,,,,
R1B,25,60000,Leachate,LT_25,3.84,0.53,2.0352,0.552083333,,,,,,
R1C,25,60000,Leachate,LT_25,3.95,0.53,2.0935,0.536708861,0.53980148,0.009034199,0.005215897,,,
C1_L25ppt_1,25,60,Micro,M_C1_25,3.27,0.37,1.2099,0.452599388,,,,,,
C1_L25ppt_2,25,60,Micro,M_C1_25,3.73,0.41,1.5293,0.439678284,,,,,,
C1_L25ppt_3,25,60,Micro,M_C1_25,3.21,0.29,0.9309,0.361370717,0.417882796,0.040306741,0.023271108,,,
C2_L25ppt_1,25,6000,Micro,M_C2_25,4.18,0.31,1.2958,0.296650718,,,,,,
C2_L25ppt_2,25,6000,Micro,M_C2_25,3.9,0.36,1.404,0.369230769,0.332940743,0.036290026,0.025660923,,,
C3_L25ppt_1,25,60000,Micro,M_C3_25,4.7,0.27,1.269,0.229787234,,,,,,
C3_L25ppt_2,25,60000,Micro,M_C3_25,4.48,0.4,1.792,0.357142857,,,,,,
C3_L25ppt_3,25,60000,Micro,M_C3_25,4.18,0.37,1.5466,0.354066986,0.355604921,0.059324318,0.034250911,,,
C1_S25ppt_1,25,60,Nano,N_C1_25,4.01,0.44,1.7644,0.438902743,,,,,,
C1_S25ppt_2,25,60,Nano,N_C1_25,4.14,0.31,1.2834,0.299516908,,,,,,
C1_S25ppt_3,25,60,Nano,N_C1_25,4.25,0.49,2.0825,0.461176471,0.380346689,0.071537359,0.041302114,,,
C2_S25ppt_1,25,6000,Nano,N_C2_25,4.22,0.23,0.9706,0.218009479,,,,,,
C2_S25ppt_2,25,6000,Nano,N_C2_25,4.41,0.37,1.6317,0.335600907,,,,,,
C2_S25ppt_3,25,6000,Nano,N_C2_25,3.85,0.35,1.3475,0.363636364,0.349618635,0.063088052,0.036423904,,,
C3_S25ppt_1,25,60000,Nano,N_C3_25,3.67,0.32,1.1744,0.348773842,,,,,,
C3_S25ppt_2,25,60000,Nano,N_C3_25,4.14,0.33,1.3662,0.31884058,,,,,,
C3_S25ppt_3,25,60000,Nano,N_C3_25,4.33,0.38,1.6454,0.351039261,0.33493992,0.014673814,0.008471931,,,
